LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.17671207,0.014880682,0.09463554,0.0133081945,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.0033444816,0.00085870206,0.30975848,0.13441966,0.011347559,0.12174764,0.010821514,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.116103575,0.012107221,0.12056198,0.0074196653,0.43076926,0.32508835,0.3312356,0.3469388,2
11.0,0.0100334445,0.0017888807,0.16333644,0.15620187,0.019291257,0.119128495,0.006553263,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.10762339,0.017249744,0.122091115,0.008106103,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.06688963,0.0024854622,0.1951709,0.16079988,0.017231047,0.14527023,0.0058607925,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.15102074,0.015810195,0.12222942,0.009981889,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.12984042,0.015307844,0.096543714,0.009658541,0.46153846,0.29328623,0.3045941,0.2857143,7
6.0,0.006688963,0.0031104188,,0.17901132,0.027532421,0.10266176,0.005126904,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.06354515,0.001836671,,0.14962228,0.022360444,0.20114331,0.016286092,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.1350331,0.010743102,0.13696313,0.007589236,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.14198232,0.008439522,0.09397342,0.012698458,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.15091129,0.010690719,0.085242935,0.011616687,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.15290481,0.010799485,0.088673554,0.012071921,0.43076926,0.32508835,0.32892802,0.30612245,13
6.0,0.0,0.0010256612,0.16548376,0.16049963,0.013133905,0.09513307,0.013883956,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.19882952,0.017741032,0.18951489,0.013827379,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.16411605,0.016467262,0.09324399,0.014354221,0.4153846,0.2650177,0.18816866,0.3469388,16
6.0,0.0100334445,0.0010018945,,0.21781442,0.028078508,0.15694758,0.015205788,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.14334042,0.020257678,0.09536159,0.009591412,0.4153846,0.27561837,0.24166141,0.31632653,18
6.0,0.006688963,0.0018079819,0.2910525,0.19566488,0.016831033,0.018350221,0.007557991,0.53846157,0.3992933,0.4673799,0.35714287,19
11.0,0.030100334,0.0014216059,0.19153242,0.1778386,0.016047878,0.09809125,0.0070975013,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.1788874,0.016009852,0.0973446,0.0070166024,0.47692305,0.32862192,0.37843508,0.29591838,21
11.0,0.0100334445,0.0008730082,,0.10873403,0.024940103,0.13509768,0.0059450963,0.43076926,0.26148412,0.20285293,0.36734694,22
6.0,0.006688963,0.0012594173,0.29704836,0.13031173,0.01722247,0.113362804,0.007981203,0.43076926,0.2720848,0.24942312,0.31632653,23
6.0,0.0,0.001478834,0.20479956,0.111348346,0.022893213,0.13026221,0.006275991,0.44615385,0.25795054,0.22383049,0.3469388,24
11.0,0.033444814,0.0013786613,0.27664956,0.12131135,0.01946405,0.11986419,0.006764378,0.4153846,0.27915195,0.22278161,0.36734694,25
11.0,0.033444814,0.0011592219,0.26575592,0.19672328,0.015900185,0.016198609,0.008534151,0.5538461,0.3886926,0.46423325,0.46938777,26
11.0,0.030100334,0.0019606224,0.33334097,0.20786786,0.017143331,0.045914605,0.0082346415,0.53846157,0.37455833,0.4543738,0.46938777,27
6.0,0.37444952,0.00400689,0.24230893,0.18354349,0.020943463,0.066108555,0.007536665,0.53846157,0.2862191,0.3274596,0.35714287,28
11.0,0.033444814,0.000982652,,0.16288786,0.019313533,0.046830844,0.006413599,0.5538461,0.27561837,0.30018878,0.36734694,29
6.0,0.37444952,0.0041120527,0.20155938,0.16088808,0.019101355,0.043123294,0.0067701307,0.52307695,0.28975266,0.35871616,0.31632653,30
6.0,0.37444952,0.004632243,0.19984184,0.20803158,0.02385258,0.067843825,0.00785232,0.5846154,0.30035338,0.34571007,0.37755102,31
6.0,0.0,0.0022182537,0.17437677,0.19777945,0.021749457,0.054592326,0.008141607,0.6,0.30035338,0.30144745,0.3469388,32
6.0,0.05685619,0.0026571623,,0.16965935,0.02337095,0.17028908,0.010062782,0.47692305,0.24734983,0.15984896,0.37755102,33
6.0,0.37444952,0.0020894005,0.26299244,0.18435603,0.020282997,0.059382606,0.009675844,0.53846157,0.27561837,0.27249843,0.3877551,34
6.0,0.37444952,0.0016457809,0.28760326,0.17884435,0.020310923,0.058952566,0.009589622,0.53846157,0.2862191,0.31298512,0.40816328,35
6.0,0.37444952,0.0047562695,0.26803482,0.22449584,0.025049172,0.08343815,0.008337196,0.5846154,0.30035338,0.32892802,0.37755102,36
,,0.0031866136,,0.20642789,0.033736467,0.22307429,0.031104693,0.4153846,0.33922264,0.45877913,0.4489796,37
6.0,0.37444952,0.0025473,0.21399061,0.18369967,0.020636385,0.055880398,0.009207575,0.56923074,0.3074205,0.3566184,0.4489796,38
,,0.0063826274,,0.27197528,0.050508443,0.17597036,0.033414517,0.46153846,0.37102476,0.44220683,0.42857143,39
,,0.0009443921,,0.2532639,0.047508914,0.20422785,0.037442625,0.43076926,0.33568907,0.4443046,0.5,40
6.0,0.37444952,0.003258186,0.18268904,0.23601669,0.024874942,0.11048963,0.008881456,0.6,0.24381627,0.23180197,0.35714287,41
6.0,0.37444952,0.0021706223,0.18045025,0.22645743,0.0262327,0.06874682,0.013350106,0.5538461,0.23321556,0.2641074,0.3265306,42
6.0,0.37444952,0.004751625,0.41642597,0.22588646,0.029864669,0.07887836,0.013024933,0.5846154,0.2862191,0.28508496,0.25510204,43
,,0.0025235298,,0.29499912,0.060843054,0.13110557,0.023829347,0.44615385,0.33215547,0.40423748,0.5,44
,,0.0027809078,,0.29481694,0.06186667,0.1334621,0.024506046,0.44615385,0.32155478,0.38367948,0.52040815,45
6.0,0.37444952,0.0031580012,0.19138826,0.21687809,0.028457312,0.07978054,0.013192141,0.61538464,0.21554771,0.24543738,0.35714287,46
6.0,0.37444952,0.002857497,0.3485269,0.21695262,0.0280925,0.07953547,0.013301129,0.6307692,0.22614843,0.26557583,0.3265306,47
6.0,0.37444952,0.0011592236,0.22665362,0.21672638,0.026532115,0.078823365,0.015021232,0.5846154,0.24381627,0.2771135,0.35714287,48
6.0,0.37444952,0.003992788,0.40904057,0.22728726,0.02989276,0.0818699,0.015958738,0.56923074,0.30388695,0.28739247,0.4387755,49
6.0,0.37444952,0.0043078847,0.25000092,0.21959473,0.025728134,0.08786811,0.012998307,0.5538461,0.22261485,0.24312985,0.36734694,50
6.0,0.37444952,0.003186657,0.32555473,0.21705939,0.029036708,0.07840041,0.014986202,0.6307692,0.22614843,0.25235996,0.3469388,51
6.0,0.37444952,0.0020179327,0.22358763,0.21692862,0.028083539,0.07829177,0.015234882,0.6307692,0.20494701,0.2674638,0.35714287,52
6.0,0.05685619,0.0019511131,0.2539516,0.21501008,0.024852332,0.07999939,0.0132976845,0.5846154,0.22614843,0.2185861,0.36734694,53
11.0,0.006688963,0.0010303654,,0.33736718,0.08208533,0.08973813,0.028774567,0.47692305,0.23674911,0.24271029,0.42857143,54
6.0,0.4573402,0.0044935364,0.11276181,0.19287457,0.034958966,0.109922595,0.014446933,0.3846154,0.23674911,0.19802812,0.42857143,55
6.0,0.4280962,0.0038832857,0.2306502,0.21016635,0.04124645,0.14727993,0.009511654,0.44615385,0.16961132,0.12985106,0.40816328,56
6.0,0.43267047,0.004298199,0.21123612,0.20624846,0.04214687,0.109094225,0.014099289,0.43076926,0.17667845,0.11558632,0.42857143,57
6.0,0.0033444816,0.0020992472,0.22961004,0.19966102,0.03547201,0.102955855,0.016402805,0.43076926,0.21201414,0.09901405,0.4387755,58
6.0,0.4497621,0.0027859716,0.23731159,0.22562961,0.03244144,0.084918186,0.017904505,0.56923074,0.19081274,0.20537026,0.40816328,59
6.0,0.4493664,0.005695921,0.43152267,0.24731961,0.03125495,0.09851006,0.018981624,0.56923074,0.20494701,0.24396895,0.41836736,60
6.0,0.06688963,0.0025472215,0.2005551,0.19641672,0.04034696,0.14938311,0.010516217,0.44615385,0.22261485,0.14201804,0.39795917,61
