"Site","Prediction"
1,82.3655264
2,53.1598628
3,66.8499628
4,50.9247632
5,36.9358744
6,56.5385432
7,54.3575824
8,68.2292156
9,92.7282244
10,13.3514396
11,62.3059852
12,63.8407212
13,72.6518264
14,51.9616552
15,49.5085864
16,22.7791632
17,66.8457956
18,31.9811984
19,42.3309604
20,106.123726
21,64.7661736
22,54.2763928
23,83.243368
24,56.9025708
25,65.4603772
26,61.30863
27,77.2739456
28,53.992054
29,71.9618016
30,54.0534924
31,73.9219312
32,71.844396
33,64.4429412
34,72.0730956
35,33.0771508
36,93.7825048
37,90.0750836
38,14.039238
39,67.4782252
40,35.4389736
41,21.9811412
42,57.4254628
43,90.7578268
44,78.3830784
45,14.4129736
46,38.5674076
47,92.4504872
48,59.1595532
49,55.566478
50,68.2151132
51,46.8640068
52,23.8184436
53,72.94889
54,47.7629832
55,29.9514044
56,73.508094
57,32.9210136
58,58.9728692
59,67.5717964
60,48.460322
61,50.41412
62,31.210944
63,28.65847
64,90.7189264
65,34.9412504
66,108.790604
67,38.4160104
68,71.2473424
69,49.3495712
70,55.519294
71,26.4929032
72,58.045646
73,71.2926004
74,82.6385008
75,45.0837836
76,48.280002
77,72.0091512
78,71.5079656
79,57.0991276
80,61.8151664
81,56.2545548
82,61.67
83,96.7258088
84,51.5830904
85,53.862768
86,59.303222
87,65.2815784
88,58.0183196
89,36.5875672
90,35.7676292
91,50.9734652
92,85.9572556
93,80.2050468
94,42.9304224
95,73.0400548
96,131.7253152
97,43.5845232
98,24.4311424
99,55.9240788
100,43.116396
101,95.921312
102,74.2360592
103,69.682436
104,66.1062132
105,208.7656696
106,115.7736384
107,27.1102336
108,43.9289704
109,60.0668288
110,45.4647244
111,41.611358
112,75.69759
113,64.445682
114,57.8425992
115,132.9650772
116,29.7531432
117,68.2723824
118,95.2898132
119,59.5775224
120,106.23822
121,50.6276928
122,59.6810072
123,66.5877996
124,161.1426196
125,87.5268368
126,63.1413076
127,87.5849864
128,21.542476
129,46.0102144
130,74.5503652
131,117.4572432
132,60.7503824
133,20.6704812
134,80.679882
135,61.3718924
136,75.7461928
137,50.3647184
138,59.1169972
139,34.9830028
140,78.3756256
141,55.4233292
142,71.5883324
143,61.4138744
144,62.2549264
145,66.8553236
146,92.1206496
147,71.270716
148,82.6882256
149,54.3176252
150,58.5846004
151,102.4813
152,20.91259
153,43.3526764
154,73.6958372
155,67.8108516
156,54.601006
157,46.583538
158,84.8963412
159,38.4461164
160,144.7542508
161,93.4653136
162,54.8774976
163,47.1684436
164,77.721606
165,63.1062144
166,105.5386912
167,140.32245
168,75.7034796
169,32.2651832
170,101.460758
171,62.5563872
172,38.6092824
173,65.8972304
174,93.528308
175,72.3793016
176,114.0968024
177,77.7255792
178,84.8489552
179,109.8451568
180,60.1007688
181,97.4021636
182,62.8982096
183,63.1495916
184,34.9307672
185,75.3229888
186,67.803944
187,145.8241716
188,44.9213176
189,99.1772736
190,82.616252
191,73.2235676
192,53.935814
193,123.1115008
194,37.0278384
195,55.3989608
196,69.5166084
197,73.0513548
198,81.5679808
199,72.3173188
200,95.4047904
201,74.4385516
202,46.1181324
203,73.370228
204,56.9065676
205,60.1137464
206,103.6585124
207,105.2295176
208,77.8779844
209,105.1545928
210,81.7098588
211,42.7715924
212,44.5033304
213,68.7277512
214,76.5907708
215,55.923158
216,91.6856596
217,32.1494448
218,65.9569384
219,84.6889864
220,44.101348
221,69.8761316
222,47.997332
223,57.2116744
224,71.9950564
225,60.3189848
226,48.6162164
227,82.1458308
228,74.0647692
229,62.4693008
230,80.1401312
231,49.9240808
232,93.1733868
233,66.595156
234,66.9506976
235,86.0887592
236,75.7494376
237,71.4737508
238,93.5428816
239,86.1251968
240,56.1025024
241,56.4947476
242,64.0991584
243,57.9896244
244,92.1335292
245,64.1065936
246,40.8280972
247,71.1957532
248,57.2049316
249,48.2639912
250,59.5730532
251,63.4460564
252,105.3824476
253,60.655828
254,52.1967968
255,68.2788772
256,60.6939612
257,113.2293228
258,64.2032948
259,69.377522
260,33.8975476
261,56.007352
262,41.081962
263,64.9880024
264,43.0762208
265,69.8577676
266,55.2046108
267,77.624338
268,53.0638564
269,22.5189664
270,63.5072872
271,40.0284048
272,18.8399748
273,66.4431676
274,69.0000744
275,69.2681404
276,67.4584256
277,74.2589368
278,56.3334724
279,64.7180336
280,60.8058972
281,70.3589844
282,69.97517
283,75.8577452
284,53.1340568
285,34.672548
286,73.0134464
287,33.9265748
288,22.6048788
289,57.5298956
290,99.1623908
291,61.2778908
292,92.8373008
293,66.6947588
294,54.1343964
295,67.9156624
296,36.1468468
297,62.9621628
298,60.7521868
299,82.2195188
300,61.9550964
301,48.6525988
302,73.3539096
303,65.3973152
304,75.3033388
305,45.1066184
306,61.1189572
307,49.1158572
308,36.3686088
309,77.1230164
310,70.6660708
311,81.9470956
312,71.4345224
313,71.08012
314,39.9375016
315,96.9520232
316,69.7587748
317,66.0052936
318,65.1930996
319,61.2867912
320,55.0673452
321,70.9244476
322,89.6764896
323,44.18675
324,60.751234
325,54.9941648
326,30.680612
327,50.7703916
328,127.1400488
329,38.1055024
330,93.3978936
331,80.8352636
332,70.573744
333,106.3356992
334,22.939366
335,76.6514644
336,62.8637444
337,121.0662648
338,17.2385828
339,58.5321076
340,93.3815696
341,63.816816
342,30.962756
343,29.0145904
344,64.3442972
345,42.8435176
346,88.5256364
347,58.8663732
348,45.9503304
349,31.7381132
350,29.9759144
351,29.1400752
352,35.6209244
353,47.6047808
354,48.6471412
355,28.5724396
356,49.2682196
357,58.0983944
358,33.576072
359,31.3281508
360,33.7976572
361,49.9390068
362,28.1980664
363,49.5325068
364,58.5113568
365,75.9497672
366,64.8818168
367,39.2812644
368,29.8624488
369,29.8266056
370,36.753114
371,64.422954
372,74.6344968
373,58.2612144
374,95.081614
375,75.686608
376,25.7336216
377,71.3635508
378,73.0583828
379,120.851066
380,23.0019692
381,44.4326744
382,36.1371608
383,20.9216848
384,45.3770992
385,51.9087536
386,74.4087428
387,42.649218
388,23.1086852
389,94.1268768
390,70.0212508
391,62.2312548
392,58.706084
393,51.8541088
394,33.5404356
395,36.8910576
396,55.423912
397,36.1493888
398,38.9596252
399,30.4822932
400,24.7434752
401,54.8678236
402,32.5218944
403,37.9773744
404,63.4913776
405,30.4923756
406,75.4684924
407,53.5440812
408,85.617518
409,22.5069064
410,72.784016
411,61.3872016
412,62.217232
413,28.8483828
414,85.4213196
415,24.1632952
416,60.6642612
417,64.9562348
418,46.83941
419,23.2006608
420,57.0748344
421,47.2859944
422,32.4700704
423,39.1591244
424,64.475342
425,93.486322
426,65.6147716
427,47.5890088
428,59.5625172
429,23.2921276
430,86.3635388
431,27.0090804
432,81.9722452
433,43.6307136
434,64.0687908
435,25.4348452
436,23.6845928
437,79.7721008
438,39.487146
439,37.6193484
440,56.2537376
441,88.323704
442,51.6830756
443,67.5841424
444,89.8876532
445,35.0241876
446,49.9914512
447,78.5988476
448,74.3544972
449,65.7335232
450,36.0326952
451,69.7874284
452,33.3782652
453,62.5041676
454,17.450898
455,48.3760596
456,27.2914752
457,68.6588104
458,67.6458132
459,62.4734992
460,46.08621
461,62.6686944
462,29.750028
463,44.3146132
464,73.8352032
465,71.1222816
466,46.1557012
467,33.437668
468,32.1543636
469,41.4496388
470,37.1136648
471,29.3500164
472,60.7476452
473,82.0664876
474,67.3081384
475,35.5812684
476,49.4598576
477,55.531182
478,46.6753504
479,83.7503388
480,31.7207816
481,53.1459376
482,32.484958
483,70.5589172
484,24.0542304
485,45.8197256
486,52.5559312
487,42.6924528
488,41.9719744
489,71.3592428
490,28.371086
491,20.446428
492,39.6640788
493,41.3704212
494,50.146568
495,30.0537172
496,60.398756
497,42.6949608
498,70.9931732
499,62.0381692
500,78.2204888
501,77.2472936
502,85.589434
503,109.4333968
504,55.8734148
505,75.4326584
506,70.8213852
507,32.6658508
508,68.9610492
509,37.9101772
510,30.74161
511,26.6945084
512,71.7282828
513,54.3892628
514,26.9145308
515,19.1865932
516,60.4861064
517,65.073674
518,35.9130716
519,28.5939248
520,29.8512896
521,28.397716
522,38.343516
523,39.9205856
524,34.515394
525,18.981336
526,58.9132832
527,31.1415408
528,66.2971472
529,35.7321364
530,41.9917632
531,38.229364
532,28.2720216
533,76.4250472
534,38.8789108
535,59.7130052
536,32.2433924
537,65.6762552
538,37.8993864
539,40.1396908
540,57.2415144
541,107.9709668
542,48.7136244
543,50.0381472
544,36.877462
545,25.8837096
546,64.7048444
547,33.1666132
548,54.3647612
549,51.3340432
550,30.9044016
551,60.4704032
552,32.7279584
553,51.5688352
554,81.9492328
555,29.9728388
556,68.485786
557,131.187902
558,85.3666712
559,30.4456392
560,20.2428784
561,71.7453716
562,35.4813056
563,61.139268
564,52.6000612
565,45.8068792
566,36.9911608
567,49.1212832
568,46.6006116
569,35.4597876
570,60.9281628
571,65.747382
572,36.9064316
573,34.1012516
574,53.338498
575,57.5518372
576,77.6995188
577,21.2314992
578,29.9090056
579,21.7931924
580,40.991072
581,42.1856652
582,48.5333312
583,23.4194268
584,57.2485576
585,35.4372864
586,66.5036812
587,70.3530072
588,24.3830664
589,67.5486524
590,62.2017428
591,21.6066884
592,27.9528976
593,51.0143472
594,50.3120216
595,35.5594156
596,40.8025652
597,58.1691712
598,44.6278216
599,42.7481724
600,62.7576452
601,62.4568844
602,61.6984056
603,42.048236
604,33.403984
605,30.3398952
606,57.3929992
607,23.046046
608,33.3631156
609,31.2316976
610,32.6954852
611,29.657394
612,49.8216432
613,54.3311336
614,34.9301704
615,37.3546632
616,45.476856
617,40.8298384
618,61.6990276
619,61.4142284
620,47.371678
621,39.6736456
622,39.260204
623,44.4326284
624,56.6855972
625,19.1530124
626,76.0990068
627,21.6780404
628,68.8712288
629,35.9707812
630,34.1225184
631,34.9427712
632,42.7895888
633,31.1411064
634,40.450412
635,27.703338
636,86.5011892
637,81.6194976
638,42.6071052
639,48.5993052
640,90.5539108
641,40.0990956
642,72.5784552
643,37.922734
644,67.5499772
645,8.587216
646,73.5828184
647,25.5104884
648,16.6941632
649,40.337092
650,59.1181708
651,42.5577948
652,39.2064204
653,82.1187884
654,62.645212
655,24.3812584
656,69.70063
657,37.6384972
658,35.3373404
659,27.0054044
660,32.1834364
661,31.1414084
662,59.9692904
663,33.7614192
664,65.9821476
665,33.1378596
666,37.6001252
667,62.1914104
668,32.6298292
669,39.5565216
670,41.6389772
671,47.7719024
672,36.6526288
673,26.3318316
674,74.2747684
675,104.5443332
676,64.1873836
677,75.7864716
678,20.8542436
679,34.0544836
680,68.9397152
681,35.9297452
682,32.4399364
683,24.6312264
684,35.3825084
685,103.5459968
686,49.5034372
687,49.87699
688,25.036682
689,88.2285296
690,134.5270604
691,66.1832176
692,50.6910824
693,83.8233128
694,43.527162
695,25.9683156
696,70.2568008
697,39.556166
698,41.3335524
699,98.1225248
700,60.5801764
701,67.7713532
702,53.8432544
703,40.1218568
704,65.6526688
705,36.3761588
706,56.4250392
707,19.5238532
708,38.596184
709,42.6148756
710,35.6793268
711,21.6599908
712,54.1278888
713,32.5093884
714,40.6036156
715,23.5222044
716,40.8590808
717,38.6399064
718,31.1174112
719,57.4766612
720,49.990374
721,79.1998916
722,61.729652
723,65.725626
724,26.2642284
725,45.7332184
726,30.4993816
727,114.5563348
728,49.6237216
729,37.6951576
730,27.2698928
731,35.2669636
732,29.2706424
733,40.1646764
734,38.425114
735,14.5814772
736,38.06608
737,73.7590272
738,90.2547752
739,101.4719912
740,24.918098
741,73.4970036
742,43.4281548
743,73.7399028
744,83.3074744
745,31.43473
746,99.5225792
747,22.1789484
748,39.6938968
749,76.068052
750,28.6711536
751,30.9557248
752,21.8267084
753,53.7207492
754,67.1059264
755,41.9248536
756,29.7692964
757,39.4166816
758,70.0896532
759,42.7229092
760,33.4160592
761,42.7596488
762,45.3404808
763,21.8393744
764,75.0452124
765,76.3813352
766,39.8184808
767,40.8168044
768,71.151514
769,38.455364
770,54.3818328
771,15.5485864
772,69.63336
773,60.9821548
774,58.8715376
775,59.6926404
776,66.581918
777,106.1689392
778,48.7247232
779,78.7763528
780,58.6719044
781,58.2176028
782,57.4688316
783,38.4468784
784,35.209792
785,34.7991804
786,67.3888984
787,34.2471744
788,60.9675328
789,43.1030256
790,46.4309308
791,28.1610308
792,26.3492004
793,48.63742
794,67.7338548
795,67.1893912
796,12.5010628
797,31.6561584
798,42.033364
799,62.6536576
800,32.3851896
801,41.6278588
802,73.070094
803,48.1123512
804,44.6101608
805,52.1206268
806,33.9316768
807,43.8299144
808,26.8576176
809,89.0436928
810,21.6170592
811,32.2188576
812,38.3712792
813,25.6226852
814,34.082778
815,48.85097
816,83.8970376
817,21.4137208
818,42.2073284
819,75.10672
820,87.8506384
821,83.2549368
822,76.545536
823,35.1056096
824,73.0730248
825,24.212762
826,30.4495688
827,28.8105892
828,76.1053704
829,54.4802704
830,97.5622504
831,30.8429544
832,89.1717928
833,82.8328072
834,36.012584
835,38.1075664
836,26.9306296
837,35.4652316
838,27.9372076
839,68.877966
840,24.1820564
841,46.2703456
842,21.2593852
843,20.408816
844,29.4513308
845,76.4715164
846,68.1780836
847,30.4439108
848,48.6065172
849,35.7716308
850,67.4065708
851,44.1177112
852,34.266178
853,40.0816272
854,24.0906268
855,37.5653596
856,43.1340672
857,48.2132264
858,43.829388
859,45.3858296
860,21.0878124
861,72.8090728
862,28.436404
863,28.9233096
864,19.2438488
865,31.3372532
866,70.8643864
867,39.7803388
868,24.4596364
869,39.1970316
870,28.8540476
871,44.6621028
872,65.3848432
873,50.7124028
874,55.8348916
875,99.627094
876,31.4045864
877,62.787424
878,27.8422064
879,34.9571924
880,35.1641196
881,23.7892768
882,55.8176332
883,69.4552292
884,19.5552292
885,74.1225044
886,29.5886368
887,47.808668
888,55.4520192
889,19.363816
890,35.021306
891,46.0392168
892,34.0937836
893,31.2224272
894,28.7608928
895,56.7239248
896,27.303046
897,29.7698032
898,21.6414512
899,43.2135436
900,47.4160684
901,19.9474496
902,24.4347392
903,83.6961612
904,36.3980756
905,57.606434
906,73.9318544
907,42.5776312
908,32.5129424
909,64.6998348
910,29.0501372
911,59.9294084
912,27.9592136
913,73.2590468
914,46.305614
915,32.4020528
916,81.7501668
917,42.9791164
918,62.4053096
919,53.6843188
920,36.5782252
921,39.4523016
922,23.0094796
923,34.9482056
924,22.2165044
925,29.913998
926,34.02922
927,103.4226124
928,77.8531944
929,14.9173956
930,33.8768988
931,35.9421956
932,47.669068
933,94.4659396
934,25.1294072
935,15.4977444
936,22.9340576
937,76.221176
938,30.0814884
939,34.534128
940,32.5842816
941,34.4871588
942,26.3783672
943,29.3010368
944,31.3498488
945,30.2572276
946,89.104874
947,28.9018652
948,92.670852
949,54.597984
950,29.8031072
951,37.9494648
952,26.3583496
953,72.043116
954,57.4891504
955,27.5348416
956,63.6999436
957,19.9804472
958,32.0716744
959,27.3957516
960,39.7149644
961,30.4073336
962,27.5638888
963,61.2251664
964,56.5354664
965,25.7686944
966,34.22739
967,38.9063324
968,63.2589768
969,36.8399436
970,26.7459452
971,42.5542384
972,25.1216716
973,27.6510848
974,27.5320192
975,65.5787284
976,24.4616364
977,35.94107
978,35.9116152
979,58.1931088
980,30.6669268
981,30.0454416
982,32.6332604
983,19.6121404
984,33.8210568
985,37.547036
986,23.7624388
987,32.425696
988,35.5967536
989,21.0408284
990,41.2108644
991,60.3964156
992,38.579926
993,30.0500756
994,123.48137
995,23.234138
996,59.1146516
997,31.2873368
998,28.4025304
999,73.6104284
1000,28.7822224
1001,39.583372
1002,46.717696
1003,43.9345132
1004,22.5718052
1005,87.4337976
1006,37.2823488
1007,50.0663904
1008,21.8518388
1009,41.488234
1010,36.125904
1011,79.1143684
1012,33.8135452
1013,73.8479112
1014,20.9269404
1015,27.9464304
1016,30.9235528
1017,64.3340368
1018,70.249048
1019,38.1095744
1020,30.88633
1021,30.6624872
1022,21.7345356
1023,30.0299036
1024,25.8476756
1025,63.2180144
1026,13.8123968
1027,26.1389396
1028,35.586002
1029,70.6535476
1030,37.2561936
1031,31.8749112
1032,31.87295
1033,103.442668
1034,34.2964144
1035,40.5421052
1036,27.9021368
1037,48.945184
1038,34.2394988
1039,33.6280644
1040,27.0899128
1041,56.1050468
1042,27.4197692
1043,25.8376148
1044,38.7196528
1045,21.6807648
1046,27.2390688
1047,33.4807932
1048,31.2333116
1049,72.7728988
1050,30.16403
1051,36.1965284
1052,29.2518824
1053,91.6205792
1054,31.493358
1055,40.1494232
1056,32.2867508
1057,60.8313336
1058,34.9555352
1059,63.8668924
1060,27.1792848
1061,20.9420576
1062,36.9580872
1063,37.8923152
1064,38.0692476
1065,25.3405164
1066,37.5644836
1067,47.4525816
1068,28.5922932
1069,34.0497364
1070,60.3003992
1071,27.8826848
1072,51.200262
1073,43.7670024
1074,58.6175392
1075,27.3787572
1076,38.3418092
1077,66.5157068
1078,27.5462372
1079,67.4746772
1080,42.9034032
1081,72.0943396
1082,40.3630536
1083,24.857858
1084,39.8407172
1085,32.1194116
1086,60.9535768
1087,32.013864
1088,36.7368192
1089,31.9863192
1090,27.3537624
1091,28.3079252
1092,32.279376
1093,28.6562356
1094,70.8178216
1095,25.8362196
1096,33.0392564
1097,28.76719
1098,27.0619068
1099,39.579812
1100,29.8435652
1101,33.608226
1102,69.3323848
1103,29.9287604
1104,56.612196
1105,66.2433276
1106,43.3777836
1107,26.183704
1108,62.071132
1109,30.6435964
1110,43.9634108
1111,101.542932
1112,40.6331956
1113,40.0976672
1114,22.5878656
1115,25.3294396
1116,46.7313268
1117,46.4060108
1118,19.8234964
1119,40.5358824
1120,58.359652
1121,19.3626956
1122,25.9675048
1123,36.8488216
1124,75.875746
1125,29.07457
1126,20.3418732
1127,93.0399552
1128,43.0205408
1129,57.2759988
1130,27.5214348
1131,36.3462588
1132,34.460686
1133,24.3161892
1134,38.4145876
1135,23.7157364
1136,48.2409972
1137,65.63617
1138,27.9512432
1139,33.4872504
1140,35.7848228
1141,28.291454
1142,48.0893772
1143,33.9421488
1144,36.3266508
1145,32.311916
1146,48.5887224
1147,52.610474
1148,112.337484
1149,29.2736212
1150,66.7116696
1151,25.4509824
1152,41.3377956
1153,55.0781172
1154,31.1569452
1155,35.910652
1156,37.6810044
1157,40.8995892
1158,32.1086628
1159,34.4293864
1160,37.5038064
1161,32.447514
1162,56.982084
1163,66.9885236
1164,22.018458
1165,70.2724712
1166,31.815948
1167,35.2353456
1168,46.1118284
1169,30.9614336
1170,25.9633344
1171,60.6519404
1172,33.93896
1173,15.903514
1174,30.4094476
1175,33.9202236
1176,24.6596436
1177,20.4179724
1178,35.5656444
1179,24.3608876
1180,22.8058464
1181,96.0728432
1182,33.899352
1183,32.1414488
1184,53.5983232
1185,27.1191868
1186,33.5186664
1187,40.795518
1188,16.4624804
1189,48.268292
1190,31.9718228
1191,60.3395812
1192,36.5295516
1193,35.6170376
1194,58.583482
1195,31.5054668
1196,27.0787208
1197,53.1871684
1198,75.1724916
1199,39.1812496
1200,31.4633708
1201,37.5728488
1202,55.70379
1203,65.5465904
1204,83.1111988
1205,52.8767292
1206,29.5177396
1207,29.9085208
1208,101.3077144
1209,30.6346652
1210,60.156074
1211,20.2858316
1212,27.3940948
1213,23.9024896
1214,25.9335948
1215,28.6110764
1216,45.9638888
1217,36.4657124
1218,56.9140728
1219,37.6512568
1220,38.571078
1221,30.9472516
1222,29.3294776
1223,21.036756
1224,51.0672332
1225,62.266932
1226,29.1056972
1227,35.711774
1228,23.6437476
1229,26.2764428
1230,41.7411068
1231,48.1770928
1232,40.8081912
1233,34.9651556
1234,32.9837
1235,45.8961436
1236,82.5633572
1237,39.7220616
1238,32.7560928
1239,43.0280916
1240,24.508742
1241,78.735568
1242,37.548376
1243,66.7064104
1244,49.4308888
1245,41.2377972
1246,46.8619604
1247,33.5559964
1248,41.0129812
1249,25.110892
1250,18.0625684
1251,77.8437296
