"Site","Prediction"
1,3.198624
2,2.485012
3,9.013604
4,2.117988
5,3.199208
6,1.301504
7,4.797208
8,5.426472
9,1.283276
10,1.09424
11,2.3966
12,8.382148
13,9.246144
14,6.356772
15,6.794124
16,1.246336
17,17.116192
18,23.98126
19,3.131968
20,1.664552
21,3.076468
22,13.980064
23,11.136568
24,16.828784
25,17.379516
26,15.670008
27,1.691448
28,1.785244
29,3.16342
30,13.798368
31,2.437636
32,1.943048
33,2.012484
34,2.380732
35,2.591032
36,1.962248
37,1.977064
38,1.315812
39,2.645164
40,2.73914
41,2.118632
42,2.05388
43,2.879584
44,2.013824
45,1.514412
46,1.689056
47,4.090016
48,4.089628
49,2.318952
50,2.574524
51,3.163828
52,3.31434
53,4.419488
54,2.691588
55,2.541572
56,5.141984
57,1.733376
58,4.409568
59,3.295628
60,6.17304
61,2.391256
62,19.823324
63,4.255476
64,5.107224
65,2.76416
66,4.641344
67,2.025928
68,3.694164
69,6.596888
70,22.583308
71,2.735144
72,3.2479
73,4.544448
74,3.235444
75,3.115216
76,3.34056
77,2.8298
78,17.874956
79,3.056816
80,25.050692
81,5.177824
82,20.984632
83,2.356412
84,4.50044
85,14.06062
86,10.834856
87,2.651324
88,15.53488
89,4.589484
90,1.652212
91,5.178588
92,1.167556
93,2.235564
94,1.834952
95,1.185268
96,1.155356
97,1.307204
98,3.568524
99,2.778428
100,2.786852
101,2.763684
102,10.386524
103,3.38602
104,3.911516
105,5.283632
106,6.426412
107,10.730388
108,2.753224
109,2.184764
110,8.744252
111,6.059872
112,1.915388
113,29.266796
114,2.94484
115,3.564328
116,0.784176
117,2.304596
118,3.58886
119,3.144844
120,3.600512
121,4.987888
122,2.718172
123,3.66954
124,4.819648
125,2.321292
126,3.473088
127,2.65866
128,1.701992
129,3.100568
130,6.131796
131,5.238496
132,5.387176
133,2.19694
134,1.630764
135,2.033852
136,4.566792
137,2.626208
138,8.336484
139,2.874716
140,9.994324
141,3.526856
142,2.006804
143,2.037568
144,1.139832
145,3.33052
146,0.803436
147,3.833996
148,2.580136
149,2.484436
150,2.713784
151,4.394328
152,0.988528
153,2.816764
154,2.714968
155,5.400016
156,7.188784
157,2.776012
158,7.390764
159,2.443696
