"Site","Prediction"
1,24.7648
2,24.6204
3,23.0728
4,35.4184
5,26.9476
6,32.8192
7,24.568
8,24.5724
9,36.8304
10,34.6056
11,20.19
12,10.6716
13,10.496
14,17.7112
15,19.7012
16,26.0192
17,12.7948
18,28.1852
19,29.2272
20,36.3768
21,33.9564
22,31.2456
23,36.2804
24,28.8124
25,32.8384
26,33.8256
27,33.418
28,28.7664
29,37.7292
30,30.5832
31,33.7524
32,31.3808
33,27.8176
34,26.6172
35,33.392
36,31.9624
37,35.892
38,35.564
39,25.89
40,34.8376
41,35.3624
42,32.566
43,24.4104
44,30.3032
45,37.172
46,36.5364
47,30.4836
48,29.2752
49,34.9204
50,22.9104
51,29.7288
52,29.4692
53,30.0268
54,28.076
55,7.1468
56,26.084
57,27.334
58,27.5776
59,24.4764
60,22.6704
61,15.154
62,25.37
63,16.0564
64,20.568
65,34.2608
66,22.4956
67,3.742
68,22.5568
69,22.0236
70,23.2656
71,21.154
72,25.8496
73,30.7792
74,28.292
75,18.6556
76,21.9828
77,20.1688
78,20.2524
79,26.5364
80,18.9308
81,20.12
82,22.1104
83,20.512
84,25.2548
85,18.932
86,20.7548
87,27.46
88,18.9212
89,42.4168
90,43.0044
91,22.2596
92,83.0608
93,24.5472
94,85.0988
95,83.2352
96,81.6308
97,40.4208
98,33.3068
99,23.672
100,43.4588
101,4.8428
102,16.5348
103,78.3016
104,24.4204
105,6.4096
106,75.3336
107,2.156
108,27.7304
109,34.3936
110,39.26
111,28.1624
112,10.1048
113,26.5152
114,20.8792
115,76.4256
116,77.992
117,24.284
118,76.8868
119,26.5704
120,69.0444
121,70.464
122,23.3484
123,23.3
124,70.4044
125,73.2812
126,4.6792
127,76.3036
128,18.2472
129,22.6168
130,70.4832
131,26.34
132,28.3092
133,42.2416
134,23.5644
135,76.5148
136,32.8632
137,28.6092
138,25.908
139,36.2464
140,6.1496
141,21.4684
142,81.4564
143,82.638
144,75.9024
145,26.1164
146,31.8628
147,68.8568
148,71.1772
149,27.132
150,65.7272
151,28.0152
152,44.4436
153,74.0844
154,73.6692
155,4.6576
156,30.6772
157,17.954
158,80.0576
159,6.7468
160,40.6868
161,20.674
162,76.474
163,27.1236
164,24.0108
165,29.004
166,34.9424
167,75.6664
168,29.252
169,27.4732
170,40.8712
171,22.1064
172,34.0412
173,75.5288
174,35.8752
175,18.5936
176,75.3344
177,4.424
178,79.3168
179,79.8772
180,78.694
181,79.0116
182,74.4496
183,27.5736
184,35.0692
185,54.656
186,22.0712
187,28.7764
188,27.3204
189,74.7924
190,81.6288
191,74.6672
192,22.9024
193,83.4236
194,35.334
195,50.062
196,24.9568
197,81.152
198,43.9052
199,31.3628
200,77.8284
201,48.6932
202,28.4924
203,75.402
204,19.092
205,51.0584
206,82.5304
207,52.266
208,81.1256
209,78.62
210,31.544
211,58.258
212,19.7668
213,36.7868
214,78.3616
215,77.372
216,82.0564
217,29.7684
218,56.7924
219,43.3544
220,23.7984
221,81.2488
222,29.7124
223,34.9564
224,28.6996
225,75.6028
226,76.1824
227,23.4856
228,39.8388
229,27.09
230,84.0232
231,16.9608
232,40.2368
233,30.9948
234,93.5968
235,38.0316
236,88.6496
237,34.884
238,4.91
239,81.9764
240,29.8056
241,38.1048
242,16.3112
243,2.1548
244,78.1004
245,37.2656
246,42.5496
247,77.7176
248,31.9528
249,86.6864
250,44.0624
251,11.8784
252,21.756
253,31.0472
254,86.5524
255,84.1448
256,77.6932
257,41.382
258,44.2416
259,7.7068
260,32.7788
261,80.7572
262,33.8224
263,20.006
264,34.2232
265,78.698
266,79.4676
267,78.5812
268,31.6256
269,31.706
270,20.8284
271,38.334
272,4.014
273,80.5664
274,77.5868
275,79.2388
276,9.1564
277,21.1208
278,30.4876
279,25.5232
280,46.8664
281,78.156
282,34.8352
283,86.2908
284,16.0728
285,25.45
286,37.8228
287,16.6384
288,35.898
289,12.6428
290,70.1976
291,77.9972
292,83.93
293,36.3892
294,7.4684
295,38.2868
296,12.2468
297,45.4512
298,25.622
299,77.5148
300,87.698
301,43.8168
302,77.7564
303,81.6584
304,28.0368
305,25.0984
306,87.2988
307,25.982
308,41.0676
309,31.5648
310,85.2884
311,84.5288
312,85.4244
313,21.1352
314,6.6884
315,13.882
316,40.9564
317,86.034
318,18.7968
319,34.1948
320,42.8964
321,26.9792
322,87.4116
323,39.4856
324,44.8492
325,86.378
326,36.3184
327,18.8772
328,48.136
329,26.9876
330,28.1204
331,86.0436
332,48.5388
333,83.9792
334,6.1284
335,25.2068
336,32.6476
337,48.8688
338,5.1484
339,44.1832
340,82.7292
341,19.0636
342,24.1284
343,36.3188
344,14.4576
345,38.7796
346,25.606
347,43.498
348,45.296
349,40.116
350,39.5152
351,39.5004
352,46.9528
353,50.1176
354,4.5352
355,37.1064
356,42.7504
357,85.0532
358,13.7176
359,40.4192
360,42.9256
361,46.4448
362,32.0328
363,25.5684
364,47.8132
365,43.2716
366,46.9472
367,49.1408
368,12.5908
369,5.0424
370,17.1152
371,2.3728
372,41.1348
373,26.6452
374,44.5576
375,43.958
376,14.5288
377,48.9372
378,51.1144
379,45.0688
380,38.0816
381,39.3632
382,4.5804
383,10.6708
384,29.0432
385,5.0912
386,40.2416
387,3.7432
388,5.206
389,78.4984
390,50.488
391,54.4616
392,38.8316
393,15.7492
394,4.9516
395,13.2856
396,24.4588
397,43.0028
398,63.0768
399,20.852
400,63.9456
401,47.3332
402,14.6312
403,35.344
404,52.5516
405,7.5724
406,37.0832
407,30.5632
408,40.7136
409,29.1604
410,45.4296
411,50.9276
412,50.89
413,34.06
414,50.396
415,30.052
416,27.1768
417,73.1292
418,30.7708
419,40.7012
